Channel_Des,Region_Des,Reset,Customer_ID,Delicassen,Detergents_Paper,Food,Fresh,Frozen,Grocery,Milk,Total Spending
Retail,Other Regions,Reset Button,1,1338,2674,31438,12669,214,7561,9656,34112
Retail,Other Regions,Reset Button,2,1776,3293,29973,7057,1762,9568,9810,33266
Retail,Other Regions,Reset Button,3,7844,3516,33094,6353,2405,7684,8808,36610
Horeca,Other Regions,Reset Button,4,1788,507,26874,13265,6404,4221,1196,27381
Retail,Other Regions,Reset Button,5,5185,1777,44323,22615,3915,7198,5410,46100
Retail,Other Regions,Reset Button,6,1451,1795,24915,9413,666,5126,8259,26710
Retail,Other Regions,Reset Button,7,545,3140,23325,12126,480,6975,3199,26465
Retail,Other Regions,Reset Button,8,2566,3321,26196,7579,1669,9426,4956,29517
Horeca,Other Regions,Reset Button,9,750,1716,16978,5963,425,6192,3648,18694
Retail,Other Regions,Reset Button,10,2098,7425,39237,6006,1159,18881,11093,46662
Retail,Other Regions,Reset Button,11,1744,5977,27887,3366,4400,12974,5403,33864
Retail,Other Regions,Reset Button,12,497,549,20710,13146,1420,4523,1124,21259
Retail,Other Regions,Reset Button,13,2931,3881,59008,31714,287,11757,12319,62889
Retail,Other Regions,Reset Button,14,602,6707,46104,21217,3095,14982,6208,52811
Retail,Other Regions,Reset Button,15,2168,5058,48671,24653,294,12091,9465,53729
Horeca,Other Regions,Reset Button,16,412,964,15997,10253,397,3821,1114,16961
Retail,Other Regions,Reset Button,17,1080,4508,23171,1020,134,12121,8816,27679
Horeca,Other Regions,Reset Button,18,4478,370,20283,5876,839,2933,6157,20653
Retail,Other Regions,Reset Button,19,3181,2767,40413,18601,2205,10099,6327,43180
Horeca,Other Regions,Reset Button,20,501,2518,20909,7780,669,9464,2495,23427
Retail,Other Regions,Reset Button,21,2124,2259,29857,17546,1066,4602,4519,32116
Horeca,Other Regions,Reset Button,22,569,375,12400,5567,3383,2010,871,12775
Horeca,Other Regions,Reset Button,23,4334,2381,51404,31276,9408,4469,1917,53785
Retail,Other Regions,Reset Button,24,16523,4337,106492,26373,5154,22019,36423,110829
Retail,Other Regions,Reset Button,25,5778,4482,54908,22647,2915,13792,9776,59390
Retail,Other Regions,Reset Button,26,57,4003,28248,16165,201,7595,4230,32251
